Query Tests Results
Query Type | Query Term | Indices | Time (µs)
--------------------------------------------
Exact Match | uyadc | 357  | Time: 7 µs
Exact Match | ikjsyqehs | 818  | Time: 4 µs
Exact Match | yafcyuc | 958  | Time: 4 µs
Exact Match | odbeyulzt | 135  | Time: 4 µs
Exact Match | wzmbpd | 18  | Time: 7 µs
Exact Match | edwdyswjf | 945  | Time: 5 µs
Exact Match | vbtjs | 554  | Time: 5 µs
Exact Match | mzsirlq | 93  | Time: 5 µs
Exact Match | qwlarkmbw | 967  | Time: 5 µs
Exact Match No SIMD | uyadc | 357  | Time: 9 µs
Exact Match No SIMD | ikjsyqehs | 818  | Time: 6 µs
Exact Match No SIMD | yafcyuc | 958  | Time: 5 µs
Exact Match No SIMD | odbeyulzt | 135  | Time: 3 µs
Exact Match No SIMD | wzmbpd | 18  | Time: 3 µs
Exact Match No SIMD | edwdyswjf | 945  | Time: 5 µs
Exact Match No SIMD | vbtjs | 554  | Time: 5 µs
Exact Match No SIMD | mzsirlq | 93  | Time: 3 µs
Exact Match No SIMD | qwlarkmbw | 967  | Time: 4 µs
Prefix Match | uya | 357  | Time: 43 µs
Prefix Match | ikj | 818  | Time: 40 µs
Prefix Match | yaf | 958  | Time: 40 µs
Prefix Match | odb | 135  | Time: 76 µs
Prefix Match | wzm | 18  | Time: 51 µs
Prefix Match | edw | 945  | Time: 41 µs
Prefix Match | vbt | 554  | Time: 41 µs
Prefix Match | mzs | 93  | Time: 40 µs
Prefix Match | qwl | 967  | Time: 40 µs
Prefix Match No SIMD | uya | 357  | Time: 53 µs
Prefix Match No SIMD | ikj | 818  | Time: 51 µs
Prefix Match No SIMD | yaf | 958  | Time: 51 µs
Prefix Match No SIMD | odb | 135  | Time: 51 µs
Prefix Match No SIMD | wzm | 18  | Time: 51 µs
Prefix Match No SIMD | edw | 945  | Time: 51 µs
Prefix Match No SIMD | vbt | 554  | Time: 50 µs
Prefix Match No SIMD | mzs | 93  | Time: 51 µs
Prefix Match No SIMD | qwl | 967  | Time: 51 µs
